"Code","Name","Continent","Region","Population","LifeExpectancy","GNP","GovernmentForm","HeadOfState"
"LTU","Lithuania","Europe","Baltic Countries","3698500","69.1","10692","Republic","Valdas Adamkus"
"LUX","Luxembourg","Europe","Western Europe","435700","77.1","16321","Constitutional Monarchy","Henri"
"LVA","Latvia","Europe","Baltic Countries","2424200","68.4","6398","Republic","Vaira Vike-Freiberga"
"MAC","Macao","Asia","Eastern Asia","473000","81.6","5749","Special Administrative Region of China","Jiang Zemin"
"MAR","Morocco","Africa","Northern Africa","28351000","69.1","36124","Constitutional Monarchy","Mohammed VI"
"MCO","Monaco","Europe","Western Europe","34000","78.8","776","Constitutional Monarchy","Rainier III"
"MDA","Moldova","Europe","Eastern Europe","4380000","64.5","1579","Republic","Vladimir Voronin"
"MDG","Madagascar","Africa","Eastern Africa","15942000","55","3750","Federal Republic","Didier Ratsiraka"
"MDV","Maldives","Asia","Southern and Central Asia","286000","62.2","199","Republic","Maumoon Abdul Gayoom"
"MEX","Mexico","North America","Central America","98881000","71.5","414972","Federal Republic","Vicente Fox Quesada"
"MHL","Marshall Islands","Oceania","Micronesia","64000","65.5","97","Republic","Kessai Note"
"MKD","Macedonia","Europe","Southern Europe","2024000","73.8","1694","Republic","Boris Trajkovski"
"MLI","Mali","Africa","Western Africa","11234000","46.7","2642","Republic","Alpha Oumar Konaré"
"MLT","Malta","Europe","Southern Europe","380200","77.9","3512","Republic","Guido de Marco"
"MMR","Myanmar","Asia","Southeast Asia","45611000","54.9","180375","Republic","kenraali Than Shwe"
"MNG","Mongolia","Asia","Eastern Asia","2662000","67.3","1043","Republic","Natsagiin Bagabandi"
"MNP","Northern Mariana Islands","Oceania","Micronesia","78000","75.5","0","Commonwealth of the US","George W. Bush"
"MOZ","Mozambique","Africa","Eastern Africa","19680000","37.5","2891","Republic","Joaquím A. Chissano"
"MRT","Mauritania","Africa","Western Africa","2670000","50.8","998","Republic","Maaouiya Ould SidŽAhmad Taya"
"MSR","Montserrat","North America","Caribbean","11000","78","109","Dependent Territory of the UK","Elizabeth II"
"MTQ","Martinique","North America","Caribbean","395000","78.3","2731","Overseas Department of France","Jacques Chirac"
